,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Castro,0,CL,1561715904,100,-42.48,-73.76,28.4,5.82
1,Boat of Garten,20,GB,1561716084,87,57.25,-3.76,72.0,4.7
2,New Norfolk,0,AU,1561715924,58,-42.78,147.06,59.0,9.17
3,Waingapu,1,ID,1561716086,69,-9.65,120.26,73.46,11.99
4,Narrabri,0,AU,1561716088,48,-30.33,149.78,62.01,4.7
5,Las Vegas,1,US,1561716060,15,36.17,-115.15,84.2,9.17
6,Mataura,4,NZ,1561715855,92,-46.19,168.86,43.0,5.01
7,Ribeira Grande,75,PT,1561716091,68,38.52,-28.7,64.4,10.29
8,Bambous Virieux,75,MU,1561716092,69,-20.34,57.76,77.0,18.34
9,Bredasdorp,40,ZA,1561715932,48,-34.53,20.04,62.6,17.22
10,Klaksvik,75,FO,1561716094,100,62.23,-6.59,48.2,11.41
11,Pisco,90,PE,1561716095,88,-13.71,-76.2,63.0,2.24
12,Dikson,12,RU,1561716097,93,73.51,80.55,33.86,3.09
13,Canatlan,19,MX,1561716098,64,24.52,-104.78,66.99,5.99
14,Airai,97,TL,1561716099,65,-8.93,125.41,73.46,2.89
15,Kapaa,90,US,1561716100,94,22.08,-159.32,77.0,4.7
16,Ostrovnoy,100,RU,1561715934,65,68.05,39.51,45.2,11.01
17,Albany,1,US,1561715679,100,42.65,-73.75,63.0,4.21
18,Provideniya,100,RU,1561716103,98,64.42,-173.23,45.92,3.94
19,Sao Filipe,9,CV,1561715870,86,14.9,-24.5,72.92,12.8
20,Butaritari,26,KI,1561716106,65,3.07,172.79,84.62,3.94
21,Ushuaia,40,AR,1561715583,100,-54.81,-68.31,26.6,10.29
22,Mount Isa,0,AU,1561716108,52,-20.73,139.49,64.4,2.24
23,Hobart,0,AU,1561715873,58,-42.88,147.33,59.0,9.17
24,Bluff,2,AU,1561715901,53,-23.58,149.07,62.3,14.97
25,Betare Oya,100,CM,1561716111,83,5.6,14.08,74.72,3.22
26,Boende,89,CD,1561716112,72,-0.28,20.88,79.22,4.36
27,Jalu,0,LY,1561716114,31,29.03,21.55,91.1,5.48
28,Port Alfred,0,ZA,1561715918,75,-33.59,26.89,64.0,3.0
29,Busselton,87,AU,1561715857,48,-33.64,115.35,50.0,14.81
30,Yellowknife,20,CA,1561715761,81,62.45,-114.38,48.2,8.05
31,Grindavik,90,IS,1561716119,87,63.84,-22.43,50.0,11.41
32,Cape Town,20,ZA,1561716001,72,-33.93,18.42,61.0,14.99
33,Ilulissat,75,GL,1561716121,94,69.22,-51.1,39.2,9.17
34,Beian,90,NO,1561716122,93,63.66,9.57,55.0,13.87
35,Ponta do Sol,0,BR,1561716123,86,-20.63,-46.0,58.7,4.63
36,Hithadhoo,93,MV,1561715876,68,-0.6,73.08,84.98,7.45
37,Ust-Kut,0,RU,1561716126,27,56.78,105.75,83.36,10.02
38,Rikitea,100,PF,1561715863,82,-23.12,-134.97,75.26,20.65
39,Zhigansk,100,RU,1561716128,41,66.77,123.37,76.16,12.62
40,Caravelas,37,BR,1561715895,86,-17.73,-39.27,73.46,8.03
41,Vaini,75,IN,1561715920,78,15.34,74.49,77.0,13.87
42,Hermanus,100,ZA,1561715891,70,-34.42,19.24,59.0,13.0
43,Odessa,1,US,1561716132,73,31.85,-102.37,75.2,3.36
44,Aykhal,90,RU,1561716133,49,65.95,111.51,71.6,8.95
45,Staryy Nadym,100,RU,1561716135,43,65.61,72.68,61.58,9.35
46,Tiksi,91,RU,1561716136,73,71.64,128.87,45.02,4.5
47,Longyearbyen,75,NO,1561716137,59,78.22,15.63,37.4,18.34
48,East London,0,ZA,1561716138,35,-33.02,27.91,69.8,14.99
49,Huarmey,100,PE,1561716139,87,-10.07,-78.15,63.02,13.22
50,Suchiapa,96,MX,1561716140,93,16.62,-93.08,67.88,2.82
51,Saldanha,0,PT,1561716142,59,41.42,-6.55,73.1,1.32
52,Nanortalik,98,GL,1561716143,99,60.14,-45.24,37.1,1.88
53,Katsuura,75,JP,1561715879,83,33.93,134.5,82.4,13.87
54,Svetlaya,100,RU,1561716145,77,46.54,138.33,49.16,1.23
55,Roros,75,NO,1561716147,93,62.57,11.38,46.4,3.36
56,Bahadurgarh,40,IN,1561716148,30,28.69,76.93,109.4,9.17
57,Egvekinot,100,RU,1561716071,80,66.32,-179.17,48.44,5.86
58,Waipawa,0,NZ,1561716150,92,-39.94,176.59,32.0,1.99
59,Tomatlan,26,MX,1561716151,74,19.93,-105.25,80.3,2.98
60,Nome,1,US,1561716152,94,30.04,-94.42,75.2,3.31
61,Los Llanos de Aridane,20,ES,1561716154,61,28.66,-17.92,77.0,8.05
62,Kloulklubed,75,PW,1561716155,83,7.04,134.26,82.4,8.05
63,Lavrentiya,100,RU,1561716156,98,65.58,-170.99,47.0,5.46
64,Tuktoyaktuk,0,CA,1561716157,90,69.44,-133.03,35.3,8.68
65,Yar-Sale,80,RU,1561716158,44,66.83,70.83,63.74,6.2
66,Chuy,0,UY,1561716082,92,-33.69,-53.46,54.74,10.33
67,El Alto,37,BO,1561716160,52,-16.5,-68.19,32.0,5.82
68,Monteagudo,0,BO,1561716162,18,-19.8,-63.96,56.36,4.03
69,Narsaq,0,GL,1561715941,75,60.91,-46.05,46.4,2.24
70,Eydhafushi,90,MV,1561716082,71,5.1,73.07,84.26,7.99
71,Cabo San Lucas,21,MX,1561715959,36,22.89,-109.91,84.0,7.0
72,Byron Bay,75,AU,1561716166,93,-28.65,153.62,66.2,5.82
73,Hobyo,87,SO,1561715908,46,5.35,48.53,88.22,25.01
74,Saint-Denis,0,FR,1561716168,50,48.94,2.36,82.0,9.17
75,Pandamatenga,0,BW,1561716169,33,-18.54,25.64,72.92,7.4
76,Sulangan,100,PH,1561716171,75,11.14,123.72,83.36,14.36
77,Qaanaaq,54,GL,1561716172,50,77.48,-69.36,44.12,10.69
78,Port-Cartier,90,CA,1561716173,100,50.03,-66.88,52.0,10.29
79,Kogon,0,UZ,1561716174,20,39.73,64.54,93.2,13.87
80,Khatanga,21,RU,1561715870,49,71.98,102.47,64.1,14.16
81,Kodiak,1,US,1561716176,73,39.95,-94.76,77.0,11.41
82,Lorengau,100,PG,1561716178,83,-2.02,147.27,79.58,5.75
83,Sao Joao da Barra,75,BR,1561716179,94,-21.64,-41.05,73.4,3.36
84,Vila Velha,0,BR,1561716180,73,-3.71,-38.6,77.0,11.41
85,Jamestown,1,AU,1561716181,61,-33.21,138.6,58.7,9.13
86,Douglasville,1,US,1561716117,100,33.75,-84.75,71.6,2.3
87,Cherskiy,100,RU,1561716184,88,68.75,161.3,40.34,12.82
88,Faanui,2,PF,1561716185,83,-16.48,-151.75,78.5,15.05
89,Kot Samaba,0,PK,1561716187,17,28.55,70.47,112.52,8.52
90,Puerto Ayora,0,EC,1561715884,87,-0.74,-90.35,71.3,10.85
91,Alofi,78,NU,1561716189,94,-19.06,-169.92,71.6,16.11
92,Avarua,91,CK,1561716190,82,-21.21,-159.78,68.0,10.29
93,Kutum,99,SD,1561716191,23,14.2,24.66,88.22,1.66
94,Pokhara,96,NP,1561716193,86,28.21,83.99,60.86,3.27
95,Mbini,81,GQ,1561716194,75,1.58,9.62,78.14,8.97
96,Hays,1,US,1561715990,78,38.88,-99.33,75.2,4.7
97,Barrow,100,AR,1561716196,78,-38.31,-60.23,43.58,10.2
98,Quatre Cocos,75,MU,1561716197,69,-20.21,57.76,77.0,18.34
99,Fruitvale,15,CA,1561716198,93,49.12,-117.55,46.99,1.99
100,Leningradskiy,97,RU,1561716200,89,69.38,178.42,39.44,6.2
101,Kirando,0,TZ,1561716201,60,-7.37,30.62,72.74,21.18
102,Loukhi,0,RU,1561716202,51,66.08,33.04,51.32,8.32
103,Maldonado,0,UY,1561716203,87,-34.91,-54.96,51.8,7.83
104,Bluefields,99,NI,1561716016,97,12.01,-83.77,74.54,4.61
105,Rorvik,75,NO,1561716205,93,64.86,11.24,52.0,9.17
106,Punta Arenas,75,CL,1561715874,80,-53.16,-70.91,30.2,3.36
107,Arraial do Cabo,20,BR,1561715925,100,-22.97,-42.02,71.6,3.36
108,Kholtoson,100,RU,1561716209,46,50.3,103.31,66.44,10.18
109,Atuona,46,PF,1561715909,81,-9.8,-139.03,80.66,16.78
110,Iqaluit,75,CA,1561716211,70,63.75,-68.52,42.8,4.7
111,Chapais,20,CA,1561716212,100,49.78,-74.86,51.8,3.36
112,Moose Factory,90,CA,1561716213,93,51.26,-80.61,51.8,2.35
113,Tres Arroyos,100,AR,1561716214,78,-38.38,-60.28,43.58,10.2
114,Quang Ngai,86,VN,1561716216,65,15.12,108.8,85.16,1.61
115,Xico,58,MX,1561716217,89,19.42,-97.01,50.42,5.32
116,Mar del Plata,0,AR,1561716218,51,-46.43,-67.52,30.08,7.05
117,Half Moon Bay,1,US,1561716219,82,37.46,-122.43,60.8,5.82
118,Ilinskiy,75,RU,1561716220,87,55.62,38.12,59.0,6.71
119,Cochabamba,7,BO,1561716221,75,-17.39,-66.16,41.0,3.36
120,Port Lincoln,79,AU,1561716223,71,-34.72,135.86,61.22,19.08
121,Ponta Delgada,20,PT,1561715847,68,37.73,-25.67,64.4,4.7
122,Kavaratti,100,IN,1561716225,74,10.57,72.64,83.72,18.54
123,Campbell River,40,CA,1561716226,87,50.02,-125.24,57.2,0.89
124,General Pico,100,AR,1561716227,83,-35.66,-63.75,41.96,4.99
125,Priiskovyy,85,RU,1561716228,50,51.93,116.63,73.1,4.34
126,Kaitangata,49,NZ,1561715942,82,-46.28,169.85,37.99,5.99
127,Kosa,75,JP,1561716231,83,32.67,130.82,80.6,9.17
128,Victoria,75,BN,1561716032,66,5.28,115.24,87.8,3.36
129,Kandrian,93,PG,1561716233,93,-6.21,149.55,75.62,5.17
130,Bagotville,40,AU,1561716234,68,-28.98,153.42,66.2,9.17
131,Nikolskoye,0,RU,1561716235,45,59.7,30.79,64.0,17.9
132,Shitanjing,0,CN,1561716236,15,39.23,106.34,86.0,5.99
133,College,75,US,1561716237,77,64.86,-147.8,64.0,1.52
134,Oranjestad,20,AW,1561715966,74,12.52,-70.03,80.6,20.8
135,Georgetown,40,GY,1561715601,94,6.8,-58.16,73.4,4.7
136,Bethel,1,US,1561716218,63,60.79,-161.76,66.2,8.05
137,Jumla,27,NP,1561716242,43,29.28,82.18,71.48,8.93
138,Honiara,40,SB,1561716243,94,-9.43,159.96,78.8,2.24
139,Geraldton,20,CA,1561716244,93,49.72,-86.95,50.0,3.42
140,Fortuna,90,US,1561716245,100,40.6,-124.16,51.01,9.46
141,Berlevag,75,NO,1561716247,75,70.86,29.09,46.4,27.51
142,Lagoa,0,PT,1561715845,47,37.14,-8.45,82.0,6.93
143,Mahebourg,75,MU,1561716249,69,-20.41,57.7,77.0,18.34
144,Krasnystaw,0,PL,1561716250,42,50.98,23.16,68.0,13.87
145,Lerwick,75,GB,1561716251,87,60.15,-1.15,53.6,6.93
146,Dickinson,75,US,1561716013,93,46.88,-102.79,64.4,16.11
147,Ufa,75,RU,1561716066,52,54.73,55.95,69.8,6.71
148,Severo-Kurilsk,95,RU,1561715939,88,50.68,156.12,42.68,12.24
149,Ancud,0,CL,1561716256,100,-41.87,-73.83,28.4,5.82
150,Grand Gaube,75,MU,1561716257,69,-20.01,57.66,77.0,18.34
151,Salinas,1,US,1561716259,82,36.67,-121.66,60.01,3.36
152,Laredo,40,US,1561716100,83,27.51,-99.51,78.8,11.41
153,Bemidji,90,US,1561716261,100,47.48,-94.89,63.0,4.61
154,Culebra,100,PA,1561716262,56,9.3,-82.53,57.99,7.0
155,Brae,75,GB,1561716263,87,60.4,-1.35,53.6,10.29
156,Sitka,0,US,1561716264,86,37.17,-99.65,66.0,1.01
157,Broadford,20,AU,1561716266,76,-37.2,145.05,61.0,18.34
158,Antalaha,98,MG,1561716267,96,-14.9,50.28,70.76,2.08
159,Kayerkan,0,RU,1561716268,71,69.35,87.76,55.4,11.18
160,Sinnamary,39,GF,1561716269,81,5.38,-52.96,80.12,13.89
161,Morgan City,1,US,1561716270,88,29.7,-91.21,73.99,2.06
162,Hilo,90,US,1561715919,88,19.71,-155.08,73.4,11.41
163,Caucaia,0,BR,1561716272,73,-3.73,-38.66,77.0,11.41
164,Saint-Philippe,1,CA,1561716274,93,45.36,-73.48,64.99,6.93
165,Vestmannaeyjar,75,IS,1561716275,100,63.44,-20.27,51.8,12.75
166,Massaguet,0,TD,1561716276,78,12.48,15.44,80.6,11.41
167,Norman Wells,90,CA,1561715913,45,65.28,-126.83,62.6,5.82
168,Hofn,90,IS,1561715912,100,64.25,-15.21,51.8,4.7
169,Biggar,100,CA,1561716279,96,52.06,-107.98,57.26,20.11
170,Back Mountain,1,US,1561716280,77,41.34,-76.0,64.4,5.82
171,Nantucket,90,US,1561716256,100,41.28,-70.1,64.99,4.7
172,El Escorial,0,ES,1561716283,27,40.58,-4.13,91.99,6.93
173,Tselinnoye,34,UA,1561716284,52,45.9,34.18,79.22,14.88
174,Atocha,0,AR,1561716285,93,-24.82,-65.48,41.0,3.36
175,Salalah,75,OM,1561716286,79,17.01,54.1,86.0,13.87
176,Iwaki,75,JP,1561716287,94,37.05,140.89,71.6,12.75
177,Meulaboh,94,ID,1561715867,70,4.14,96.13,84.62,8.41
178,Nokaneng,56,BW,1561716290,31,-19.66,22.19,75.26,9.04
179,Tasiilaq,90,GL,1561716291,87,65.61,-37.64,44.6,4.7
180,Upernavik,0,GL,1561716292,81,72.79,-56.15,33.14,7.49
181,Lebu,40,ET,1561715896,54,8.96,38.73,70.22,3.56
182,Russell,1,US,1561716294,73,38.9,-98.86,75.2,16.11
183,Tautira,75,PF,1561716295,83,-17.73,-149.15,75.2,12.75
184,Matara,53,BI,1561716297,69,-3.48,29.48,61.76,5.77
185,Saint George,20,GR,1561716273,34,39.45,22.34,93.2,5.82
186,Rundu,0,NA,1561716299,28,-17.91,19.77,73.4,8.05
187,Oktyabrskiy,75,RU,1561716300,87,55.61,37.97,59.0,6.71
188,Panzhihua,100,CN,1561716301,45,26.59,101.72,87.14,4.76
189,Huilong,80,CN,1561716302,75,31.15,106.5,75.44,7.52
190,Chalmette,40,US,1561716303,69,29.94,-89.96,78.8,3.36
191,Sabha,0,LY,1561716305,13,27.03,14.43,98.3,13.96
192,Iwanai,25,JP,1561716306,84,42.97,140.51,62.3,1.99
193,Krasnouralsk,43,RU,1561716307,39,58.36,60.04,66.98,7.65
194,Santa Maria,0,BR,1561716308,82,-16.02,-48.01,59.0,4.59
195,Hasaki,75,JP,1561716309,94,35.73,140.83,70.0,13.87
196,San Quintin,94,PH,1561716310,85,17.54,120.52,80.3,9.22
197,Yaan,81,NG,1561715923,81,7.38,8.57,80.12,5.99
198,Porto Murtinho,32,BR,1561716313,71,-21.7,-57.88,71.66,7.49
199,Taoudenni,0,ML,1561716314,6,22.68,-3.98,103.34,6.6
200,Clyde River,1,CA,1561716315,65,70.47,-68.59,41.0,21.92
201,Caibarien,20,CU,1561716316,94,22.52,-79.47,69.8,2.24
202,Torbay,90,CA,1561716317,93,47.66,-52.73,52.0,4.7
203,Malanje,0,AO,1561716319,27,-9.54,16.35,77.24,5.99
204,Paita,46,PE,1561716320,92,-5.09,-81.11,64.28,11.32
205,Anadyr,75,RU,1561716322,81,64.73,177.51,48.2,11.18
206,Karaton,20,ID,1561716323,58,-6.34,106.1,86.0,9.17
207,Okrika,100,NG,1561716324,83,5.52,7.78,79.4,4.27
208,Havelock,1,US,1561716325,83,34.88,-76.9,75.2,1.57
209,Scarborough,75,GB,1561716327,72,54.28,-0.41,66.0,8.05
210,Bosaso,0,SO,1561716118,39,11.28,49.18,96.8,43.62
211,Popondetta,22,PG,1561716329,97,-8.77,148.24,66.98,2.17
212,Rio Grande,3,BR,1561716330,96,-32.03,-52.1,53.12,5.73
213,Yumen,28,CN,1561716331,15,40.29,97.04,84.26,12.26
214,Bandarbeyla,24,SO,1561716332,32,9.49,50.81,94.52,33.13
215,Hambantota,20,LK,1561716333,50,6.12,81.12,95.0,19.46
216,Otane,0,NZ,1561716335,92,-39.89,176.62,32.0,1.99
217,Kjollefjord,75,NO,1561716336,81,70.95,27.35,46.4,20.8
218,Nelson Bay,0,AU,1561716337,82,-32.72,152.14,62.01,6.93
219,Bathsheba,40,BB,1561716338,83,13.22,-59.52,80.6,21.92
220,Sao Jose da Coroa Grande,24,BR,1561716339,94,-8.9,-35.15,70.22,4.47
221,Mecca,92,SA,1561716279,16,21.43,39.83,112.34,16.44
222,Carnarvon,0,ZA,1561715869,39,-30.97,22.13,52.4,20.85
223,Erzin,75,TR,1561716343,55,36.95,36.2,90.0,8.05
224,Esperance,75,AU,1561716344,76,-33.86,121.89,50.0,20.8
225,Shimsk,68,RU,1561716345,55,58.21,30.71,63.02,15.55
226,Luena,0,AO,1561716346,25,-11.78,19.91,76.52,6.35
227,Aquiraz,0,BR,1561716103,73,-3.9,-38.39,77.0,11.41
228,Dunedin,24,NZ,1561716182,73,-45.87,170.5,44.01,6.33
229,Bonthe,100,SL,1561716350,80,7.53,-12.5,80.3,2.53
230,Altamira,0,BR,1561716351,86,-3.2,-52.21,68.78,2.48
231,Yulara,0,AU,1561716352,18,-25.24,130.99,69.8,6.93
232,Faya,20,SA,1561716353,7,18.39,42.45,93.2,4.7
233,Muroto,75,JP,1561716354,88,33.37,134.14,77.0,9.17
234,Saskylakh,62,RU,1561716355,52,71.97,114.09,60.68,14.99
235,Alyangula,48,AU,1561716357,78,-13.85,136.42,75.2,4.7
236,Pangai,100,TO,1561716358,77,-19.8,-174.35,73.28,24.07
237,Agadez,0,NE,1561716359,32,16.97,7.99,95.0,11.41
238,Kodinsk,0,RU,1561716360,20,58.6,99.18,91.1,4.43
239,Haines Junction,65,CA,1561716361,54,60.75,-137.51,52.4,0.83
240,Amarastii de Sus,20,RO,1561716362,54,43.98,24.15,82.99,14.99
241,Saint Anthony,1,US,1561715886,54,43.97,-111.68,55.4,3.36
242,Binga,4,ZW,1561716365,38,-17.62,27.34,73.46,6.26
243,Avera,1,US,1561716366,100,33.19,-82.53,73.4,3.62
244,Gubkinskiy,100,RU,1561716367,69,64.43,76.5,51.14,13.87
245,Casma,95,PE,1561716368,89,-9.47,-78.3,62.3,9.71
246,Buchanan,75,LR,1561716369,94,5.88,-10.05,78.8,10.71
247,Lompoc,90,US,1561716371,93,34.64,-120.46,57.99,13.47
248,Emba,20,CY,1561716372,70,34.81,32.42,84.2,8.05
249,Chokurdakh,0,RU,1561715938,38,70.62,147.9,57.98,12.66
250,Isangel,90,VU,1561716374,94,-19.55,169.27,69.8,13.58
251,Ulaangom,0,MN,1561716375,21,49.98,92.07,81.02,8.7
252,Dharan,64,NP,1561716376,73,26.81,87.28,80.12,4.45
253,Belaya Gora,95,RU,1561716378,26,68.54,146.19,71.3,10.67
254,Camacha,40,PT,1561716379,64,33.08,-16.33,73.4,12.75
255,Roald,75,NO,1561716380,76,62.58,6.12,57.2,18.34
256,Port Blair,100,IN,1561716381,77,11.67,92.75,83.72,29.28
257,Whitehorse,20,CA,1561716180,47,60.72,-135.06,57.2,5.82
258,Novobirilyussy,10,RU,1561716383,38,56.95,90.69,85.34,3.74
259,Requena,0,ES,1561716270,27,39.49,-1.1,93.99,4.7
260,Meshchovsk,100,RU,1561716386,94,54.32,35.29,50.96,17.27
261,Constitucion,31,MX,1561716388,64,23.99,-104.67,66.99,5.99
262,Bijie,100,CN,1561716390,94,27.3,105.3,61.58,5.84
263,Mehamn,75,NO,1561716392,81,71.03,27.85,46.4,20.8
264,Orange Cove,1,US,1561716394,67,36.62,-119.31,64.4,6.93
265,Bayir,0,TR,1561716395,46,37.27,28.22,91.4,16.11
266,Tazovskiy,100,RU,1561716396,59,67.47,78.7,49.52,11.9
267,Artyom,75,RU,1561716397,76,43.36,132.19,57.2,2.24
268,Hay River,20,CA,1561716398,100,60.82,-115.79,42.8,2.24
269,Ust-Tarka,63,RU,1561716400,63,55.56,75.71,63.2,7.14
270,Kpandae,51,GH,1561716401,78,8.46,-0.01,79.58,6.69
271,Kautokeino,100,NO,1561716402,48,69.01,23.04,46.46,27.58
272,Guerrero Negro,99,MX,1561716403,87,27.97,-114.04,64.64,14.74
273,Sao Gabriel da Cachoeira,94,BR,1561716404,99,-0.13,-67.09,71.66,1.9
274,Pitimbu,75,BR,1561716322,100,-7.47,-34.81,71.6,6.93
