,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
275,Najran,0,SA,1561716137,9,17.54,44.22,104.0,9.17
276,Honningsvag,75,NO,1561716407,81,70.98,25.97,42.8,20.8
277,Methoni,20,GR,1561716409,40,36.82,21.7,87.8,4.7
278,Cidreira,0,BR,1561716410,89,-30.17,-50.22,59.78,8.43
279,Namatanai,92,PG,1561716411,80,-3.66,152.44,79.76,10.49
280,Bjerkvik,75,NO,1561716412,76,68.55,17.56,50.0,11.41
281,Nizwa,0,OM,1561716192,24,22.93,57.53,99.74,12.06
282,Mareeba,90,AU,1561716414,94,-16.99,145.42,71.6,16.11
283,Southbridge,1,US,1561716416,93,42.08,-72.03,66.2,2.77
284,Yekaterinoslavka,65,RU,1561716417,52,54.34,72.46,65.18,4.83
285,Ipixuna,42,BR,1561716418,94,-1.76,-48.8,77.0,6.93
286,Mutis,100,CO,1561716419,79,6.23,-77.4,81.2,3.65
287,Tromso,75,NO,1561716414,81,69.65,18.96,48.2,28.86
288,Vadso,40,NO,1561716422,57,70.07,29.75,51.8,18.34
289,Kruisfontein,31,ZA,1561716423,36,-34.0,24.73,64.28,6.76
290,Okhotsk,94,RU,1561716424,46,59.36,143.24,68.42,4.92
291,Senneterre,90,CA,1561716425,93,48.39,-77.24,60.8,5.82
292,Royken,0,NO,1561716426,46,59.75,10.39,75.0,1.12
293,Cap Malheureux,75,MU,1561716194,69,-19.98,57.61,77.0,18.34
294,Entre Rios,7,BR,1561716429,97,-11.94,-38.08,64.1,2.55
295,Thompson,75,CA,1561716430,87,55.74,-97.86,50.0,2.24
296,Damghan,20,IR,1561716431,33,36.17,54.34,77.06,2.75
297,Tamandare,84,BR,1561716432,96,-8.28,-70.75,69.68,1.86
298,Bubaque,100,GW,1561716433,84,11.28,-15.83,80.66,14.12
299,Treinta y Tres,42,UY,1561716434,86,-33.23,-54.39,48.98,6.38
300,Barwadih,0,IN,1561716436,22,26.9,84.87,109.1,9.82
301,Ayagoz,2,KZ,1561716437,29,47.96,80.43,86.42,11.07
302,Ati,38,TD,1561716438,34,13.21,18.34,94.52,14.83
303,Tigzirt,0,DZ,1561716439,29,36.57,4.2,85.7,5.57
304,Pompeia,1,BR,1561716391,86,-22.11,-50.17,63.92,7.18
305,Jamsa,0,FI,1561716441,33,61.86,25.19,64.0,12.75
306,Yamethin,92,MM,1561716443,54,20.43,96.14,91.64,15.61
307,Goderich,66,CA,1561716444,78,43.74,-81.71,66.0,5.01
308,Bud,75,NO,1561716445,76,62.91,6.91,57.2,5.82
309,Cangzhou,100,CN,1561716446,48,38.3,116.85,85.88,12.8
310,Pangnirtung,0,CA,1561716447,55,66.15,-65.72,44.12,3.02
311,Yakovlevskoye,75,RU,1561716448,87,55.46,36.94,59.0,15.66
312,Eureka,90,US,1561716269,100,40.8,-124.16,51.01,5.08
313,San Vicente,75,EC,1561716451,83,-0.59,-80.41,74.36,11.65
314,Alindao,100,CF,1561716452,96,5.04,21.21,68.24,6.38
315,Mount Gambier,40,AU,1561716454,67,-37.83,140.78,60.8,8.05
316,Fare,16,PF,1561716455,79,-16.7,-151.02,77.96,14.81
317,Aklavik,20,CA,1561716457,81,68.22,-135.01,42.8,9.17
318,Sorong,88,ID,1561716458,92,-0.86,131.25,76.34,8.05
319,Kuandian,86,CN,1561716460,72,40.73,124.78,72.56,6.11
320,Dudinka,0,RU,1561716461,71,69.41,86.18,55.4,11.18
321,Dombarovskiy,83,RU,1561716463,42,50.76,59.54,71.84,10.4
322,Te Anau,24,NZ,1561716464,80,-45.41,167.72,45.02,8.55
323,Itarema,0,BR,1561716465,85,-2.92,-39.92,73.82,9.73
324,Angoche,0,MZ,1561716466,60,-16.23,39.91,78.14,7.09
325,Port Elizabeth,1,US,1561716468,93,39.31,-74.98,73.0,3.85
326,Vao,0,EE,1561716469,40,59.1,26.19,63.02,12.55
327,Jiayuguan,65,CN,1561716470,18,39.77,98.29,78.68,10.13
328,Yatou,75,CM,1561716471,83,3.63,9.81,82.4,5.82
329,Adre,88,TD,1561716472,39,13.47,22.2,87.5,10.4
330,Mixquiahuala,20,MX,1561716473,96,20.23,-99.21,55.64,3.27
331,Athabasca,100,CA,1561716475,70,54.72,-113.29,56.0,8.97
332,Eravur,99,LK,1561716476,55,7.77,81.61,89.66,10.51
333,Poum,20,MK,1561716477,57,41.28,20.71,78.8,8.05
334,Coquimbo,90,CL,1561716478,81,-29.95,-71.34,51.8,4.7
335,Kostomuksha,37,RU,1561716479,40,64.59,30.6,57.44,9.55
336,Padang,27,ID,1561716480,74,-0.92,100.36,84.08,11.12
337,Saint-Pierre,0,FR,1561716482,39,48.95,4.24,84.2,12.75
338,Kangaatsiaq,100,GL,1561716483,80,68.31,-53.46,37.46,8.9
339,Tooele,1,US,1561716484,20,40.53,-112.3,75.2,13.87
340,Fort Nelson,75,CA,1561716485,93,58.81,-122.69,50.0,2.24
341,Plouzane,75,FR,1561716486,82,48.38,-4.62,75.2,6.93
342,Road Town,20,VG,1561716487,69,18.42,-64.62,82.4,13.87
343,Ballina,75,IE,1561716489,67,54.11,-9.15,70.0,13.87
344,Tall Kayf,20,TR,1561716490,16,37.08,41.07,102.2,9.17
345,Monte Aprazivel,0,BR,1561716491,72,-20.77,-49.71,68.0,5.28
346,Kropotkin,0,RU,1561716492,33,45.43,40.58,84.44,13.04
347,Urubicha,31,BO,1561716493,99,-15.63,-63.08,66.98,1.36
348,Hamilton,20,CA,1561716216,100,43.26,-79.87,69.8,4.7
349,Porterville,1,US,1561716373,45,36.07,-119.02,64.4,5.82
350,Kholodnyy,100,RU,1561716497,59,62.72,147.95,52.76,6.69
351,Vila Franca do Campo,20,PT,1561716498,68,37.72,-25.43,64.4,4.7
352,Rawson,100,AR,1561716499,56,-43.3,-65.11,33.14,7.61
353,Kavieng,100,PG,1561716500,73,-2.57,150.8,84.26,8.97
354,Gazojak,0,TM,1561716501,15,41.19,61.4,95.24,12.21
355,Granger,1,US,1561716503,100,41.75,-86.11,71.6,10.4
356,Touros,0,BR,1561716504,100,-5.2,-35.46,69.8,4.7
357,Lokosovo,100,RU,1561716505,84,61.13,74.84,49.52,7.7
358,Porto Recanati,0,IT,1561716506,58,43.44,13.66,91.0,11.41
359,Horsham,17,AU,1561716507,68,-36.71,142.2,58.34,15.14
360,Ocos,5,GT,1561716508,100,14.51,-92.19,77.0,4.7
361,Gaillac,0,FR,1561716510,54,43.9,1.9,89.01,8.05
362,Hilton Head Island,40,US,1561716375,88,32.16,-80.75,82.0,5.82
363,Correntina,0,BR,1561716512,82,-13.34,-44.63,58.52,4.23
364,Finschhafen,100,PG,1561716513,92,-6.6,147.85,66.08,3.22
365,Srandakan,0,ID,1561716514,76,-7.94,110.25,77.06,17.16
366,Marfino,75,RU,1561716515,100,56.07,37.56,59.0,17.9
367,Eura,0,FI,1561716516,48,61.13,22.13,64.99,13.87
368,Humaita,0,AR,1561716518,93,-24.93,-65.37,41.0,3.36
369,Maceio,20,BR,1561716388,94,-9.67,-35.74,69.8,3.36
370,Mayumba,100,GA,1561716520,80,-3.44,10.65,72.92,15.3
371,Batemans Bay,0,AU,1561716521,89,-35.71,150.18,57.0,3.51
372,Bagdarin,100,RU,1561716524,76,54.44,113.59,59.24,2.82
373,Salamanca,0,MX,1561716525,79,20.57,-101.19,57.99,5.35
374,Souillac,90,FR,1561716526,88,45.6,-0.6,69.8,10.29
375,Takanabe,40,JP,1561716527,83,32.13,131.49,82.4,5.82
376,Alice Springs,0,AU,1561716528,23,-23.7,133.88,64.4,6.93
377,Amposta,0,ES,1561716530,33,40.71,0.58,93.99,8.05
378,Urman,0,UA,1561716531,67,49.57,24.95,62.48,15.77
379,Moree,40,AU,1561716532,48,-29.46,149.84,62.6,9.17
380,Flinders,2,AU,1561716533,93,-34.58,150.85,61.0,4.7
381,Karratha,0,AU,1561716534,25,-20.74,116.85,80.48,7.49
382,Mercedes,100,UY,1561716535,91,-33.25,-58.03,54.0,1.99
383,Point Fortin,20,TT,1561716537,94,10.16,-61.68,78.01,3.36
384,Morehead,1,US,1561716538,94,38.18,-83.43,70.0,3.98
385,Hualmay,100,PE,1561716539,86,-11.1,-77.61,62.48,12.21
386,Gamba,21,CN,1561716540,25,28.28,88.52,63.02,15.3
387,Balud,91,PH,1561716541,73,12.22,124.89,84.08,9.93
388,Jiwani,0,PK,1561716542,81,25.05,61.74,85.7,9.66
389,Novikovo,77,RU,1561716544,76,51.15,37.89,65.36,16.22
390,Caranavi,70,BO,1561716545,71,-15.83,-67.57,51.68,3.11
391,Vina del Mar,75,CL,1561716546,81,-33.02,-71.55,50.0,4.7
392,Suzun,88,RU,1561716548,73,53.78,82.32,69.32,8.88
393,Champerico,13,MX,1561716549,82,16.38,-93.6,69.32,13.85
394,Oistins,40,BB,1561716550,83,13.07,-59.53,80.6,21.92
395,Chara,20,GR,1561716551,34,39.42,22.43,93.2,5.82
396,Manjacaze,0,MZ,1561716552,52,-24.71,33.88,78.5,3.11
397,Caribou,90,US,1561716553,87,46.86,-68.01,60.8,3.36
398,Roswell,1,US,1561716554,60,33.39,-104.52,73.4,17.22
399,Carballo,0,ES,1561716556,68,43.21,-8.69,71.01,3.36
400,Robertsonpet,20,IN,1561716557,42,12.96,78.27,87.8,11.41
401,Honavar,100,IN,1561716558,83,14.28,74.45,81.74,20.78
402,Chegdomyn,18,RU,1561716559,40,51.13,133.04,75.62,1.59
403,Porto Novo,40,BR,1561716561,93,-23.68,-45.44,64.4,1.34
404,Pozoblanco,0,ES,1561716562,45,38.38,-4.85,82.4,3.36
405,Iznoski,100,RU,1561716563,96,54.99,35.31,50.6,15.97
406,Yendi,85,GH,1561716564,77,9.45,0.0,80.3,5.73
407,Reconquista,100,AR,1561716565,97,-29.14,-59.64,60.86,6.08
408,Bulawayo,0,ZW,1561716566,26,-20.16,28.59,70.58,5.64
409,Puerto Baquerizo Moreno,1,EC,1561716568,90,-0.9,-89.6,71.66,13.11
410,Noumea,90,NC,1561716569,88,-22.28,166.46,68.0,1.12
411,Codrington,0,AU,1561716570,87,-28.95,153.24,66.2,4.29
412,Oussouye,20,SN,1561716571,83,12.49,-16.54,82.4,11.41
413,Nagato,75,JP,1561716572,88,34.35,131.14,80.01,6.93
414,Lapeer,1,US,1561716574,93,43.05,-83.32,71.6,7.11
415,Sooke,75,CA,1561716575,93,48.37,-123.73,59.0,9.17
416,Lubbenau,75,DE,1561716576,56,51.87,13.97,72.0,10.29
417,Taltal,1,CL,1561716578,93,-25.41,-70.49,44.48,0.54
418,Verkhniy Fiagdon,20,RU,1561716579,45,42.83,44.31,86.0,6.71
419,Comodoro Rivadavia,0,AR,1561716580,79,-45.87,-67.48,28.4,10.29
420,Guhagar,100,IN,1561716581,86,17.48,73.19,81.2,23.82
421,Tiznit,0,MA,1561716582,86,29.7,-9.73,66.8,4.92
422,Capitao Poco,44,BR,1561716584,98,-1.75,-47.06,70.58,2.26
423,Abeche,0,TD,1561716586,34,13.83,20.83,91.4,6.93
424,Vardo,1,US,1561716587,93,39.62,-77.74,71.01,2.17
425,Korem,74,ET,1561716588,21,12.51,39.52,80.12,19.08
426,Rabo de Peixe,20,PT,1561716590,68,37.8,-25.58,64.4,9.17
427,Riyadh,0,SA,1561716321,4,24.63,46.72,113.0,5.82
428,San Patricio,100,PY,1561716593,88,-26.98,-56.83,68.24,11.72
429,Caldwell,1,US,1561716594,47,43.67,-116.69,59.0,11.41
430,Coihaique,0,CL,1561716595,92,-45.58,-72.07,19.4,1.14
431,Bordighera,0,IT,1561716596,70,43.79,7.66,95.0,4.7
432,Orikum,33,AL,1561716597,87,40.33,19.47,77.06,10.85
433,Saint-Augustin,20,CA,1561716598,100,45.63,-73.98,66.0,3.36
434,Turukhansk,96,RU,1561716600,84,65.8,87.96,66.44,11.34
435,Gezing,0,AT,1561716601,44,47.92,13.13,81.0,8.05
436,Skjervoy,75,NO,1561716602,87,70.03,20.97,46.4,26.4
437,Newport,1,US,1561716604,88,41.49,-71.31,66.2,6.93
438,Ponta Pora,54,BR,1561716605,69,-22.54,-55.73,69.68,9.51
439,Ahuimanu,90,US,1561716606,94,21.44,-157.84,78.8,2.93
440,Namibe,0,AO,1561716607,81,-15.19,12.15,63.56,13.22
441,Edeia,0,BR,1561716609,64,-17.34,-49.93,64.64,4.32
442,Gizo,20,IL,1561716610,52,31.8,34.94,89.01,11.41
443,Shirokiy,47,RU,1561716611,48,53.87,39.17,72.0,3.0
444,Pulandian,40,CN,1561716612,73,39.4,121.96,77.0,4.47
445,Hikari,40,JP,1561716614,83,33.97,131.95,80.01,9.17
446,Chingirlau,100,KZ,1561716615,30,51.09,54.08,81.92,12.88
447,Urengoy,100,RU,1561716616,79,65.96,78.37,49.52,9.42
448,Karasjok,75,NO,1561716617,68,69.47,25.52,50.0,36.91
449,Suileng,100,CN,1561716619,98,47.25,127.08,58.7,9.17
450,Coahuayana,69,MX,1561716620,85,18.62,-100.35,71.66,1.68
451,Juneau,20,US,1561716621,82,58.3,-134.42,64.0,12.53
452,Nadym,100,RU,1561716622,53,65.53,72.51,57.44,7.31
453,Iberia,24,PE,1561716623,93,-11.41,-69.49,68.24,2.26
454,Saint-Paul,0,FR,1561716624,33,45.22,1.9,89.6,2.24
455,Tuatapere,100,NZ,1561716626,92,-46.13,167.69,43.0,4.0
456,Misratah,0,LY,1561716517,76,32.38,15.09,77.78,8.03
457,Esmeraldas,0,BR,1561716628,82,-19.76,-44.31,62.6,9.17
458,Iracoubo,55,GF,1561716630,95,5.48,-53.21,73.82,4.18
459,Moranbah,62,AU,1561716631,65,-22.0,148.04,64.1,15.9
460,Beringovskiy,14,RU,1561716632,71,63.05,179.32,49.34,5.66
461,Sabang,73,PH,1561716633,75,13.8,121.11,81.2,7.81
462,Tacoronte,75,ES,1561716634,77,28.48,-16.41,72.0,16.11
463,Soe,0,EE,1561716635,42,57.91,26.05,64.99,16.11
464,Srednekolymsk,98,RU,1561716637,77,67.46,153.71,50.06,14.85
465,Hatillo,0,PR,1561716638,86,18.49,-66.83,79.0,10.02
466,Sangar,31,RU,1561716639,36,63.92,127.47,79.22,9.98
467,Lynn Haven,20,US,1561716436,88,30.25,-85.65,78.01,6.93
468,Bonfim,0,GY,1561716641,91,3.36,-59.84,74.18,5.53
469,Dawei,100,MM,1561716642,84,14.07,98.19,80.84,13.89
470,Sibu,75,MY,1561716644,66,2.29,111.83,91.4,2.24
471,Dauphin,1,CA,1561716645,93,51.15,-100.04,53.6,4.7
472,Darhan,100,MN,1561716646,74,49.49,105.92,63.92,16.67
473,Manta,8,RO,1561716647,73,45.1,24.1,74.36,6.64
474,Mamlyutka,40,KZ,1561716648,42,54.94,68.54,68.0,4.5
475,Dourbali,93,TD,1561716649,55,11.81,15.86,85.52,12.88
476,Umm Kaddadah,61,SD,1561716651,35,13.6,26.69,94.16,15.86
477,Fergus Falls,1,US,1561716652,93,46.28,-96.08,64.4,5.82
478,Pevek,4,RU,1561716653,90,69.7,170.27,37.28,13.18
479,Tepelene,4,AL,1561716654,57,40.3,20.02,82.99,1.99
480,Abha,20,SA,1561716656,7,18.22,42.5,93.2,4.7
481,Ust-Kan,29,RU,1561716658,43,50.93,84.77,73.64,4.05
482,Majene,0,ID,1561716659,78,-3.54,118.97,81.38,16.91
483,Kieta,100,PG,1561716660,74,-6.22,155.63,83.0,4.7
484,Obidos,20,PT,1561716662,56,39.36,-9.16,81.0,8.05
485,Pacific Grove,1,US,1561716663,76,36.62,-121.92,59.0,4.7
486,Saint-Joseph,0,FR,1561716664,52,43.56,6.97,99.0,5.82
487,Gigmoto,97,PH,1561716665,75,13.78,124.39,84.98,15.3
488,San Lorenzo,40,HN,1561716666,73,13.43,-87.45,73.28,3.47
489,Kumluca,0,TR,1561716667,35,36.37,30.29,81.92,5.5
490,Nemuro,75,JP,1561716669,81,43.32,145.57,53.6,6.93
491,Nicoya,93,CR,1561716670,37,10.15,-85.45,70.0,32.01
492,Colares,20,PT,1561716672,56,38.8,-9.45,73.4,13.87
493,Cockburn Town,80,TC,1561716647,79,21.46,-71.14,81.92,22.5
494,Trinidad,20,BO,1561716674,93,-14.83,-64.9,64.4,1.39
495,Antofagasta,90,CL,1561716675,71,-23.65,-70.4,55.4,3.36
496,Jiuquan,65,CN,1561716676,18,39.73,98.49,78.68,10.13
497,Taretan,69,MX,1561716678,87,19.33,-101.92,57.08,5.12
498,Pahrump,1,US,1561716622,14,36.21,-115.98,78.8,11.48
499,Toyooka,75,JP,1561716680,94,35.55,134.82,73.4,4.7
500,Ust-Kuyga,77,RU,1561716681,52,70.0,135.55,65.36,13.78
501,Vytegra,100,RU,1561716682,92,61.01,36.45,49.52,17.56
502,Mansehra,0,PK,1561716683,16,34.33,73.2,91.46,4.0
503,Taybad,0,IR,1561716544,13,34.74,60.78,93.08,16.49
504,Djibo,45,BF,1561716686,37,14.1,-1.63,92.36,14.12
505,Westport,1,US,1561716687,82,41.14,-73.36,69.01,3.76
506,Itoman,75,JP,1561716688,83,26.12,127.67,86.0,13.87
507,Batouri,82,CM,1561716689,77,4.44,14.36,76.7,4.52
508,Luziania,0,BR,1561716690,82,-16.25,-47.95,59.0,3.89
509,Kununurra,100,AU,1561716691,26,-15.77,128.74,78.8,6.93
510,Cooma,0,AU,1561716693,70,-36.24,149.13,42.8,6.93
511,Niquero,99,CU,1561716694,77,20.04,-77.58,83.0,10.22
512,Bilibino,92,RU,1561716695,80,68.06,166.44,50.42,2.95
513,Shimoda,75,JP,1561716696,78,34.7,138.93,82.0,10.29
514,Ratnagiri,100,IN,1561716697,86,16.98,73.3,81.2,24.79
515,El Sauzal,0,AR,1561716699,93,-24.3,-64.96,41.0,5.82
516,Palu,52,ID,1561716700,87,-0.9,119.87,79.76,5.32
517,Puerto Carreno,44,CO,1561716701,93,6.19,-67.49,74.72,0.34
518,Luderitz,0,NA,1561716702,67,-26.65,15.16,57.2,1.12
519,Bacolod,100,PH,1561716703,81,10.68,122.95,81.92,14.54
520,Gat,20,SN,1561716704,78,14.69,-16.54,78.8,16.11
521,Tsumeb,0,NA,1561716706,26,-19.25,17.72,71.6,5.82
522,Mantua,0,IT,1561716707,55,45.16,10.79,93.2,14.99
523,Olinda,20,AU,1561716708,76,-37.84,145.39,61.0,18.34
524,Atambua,99,ID,1561716709,67,-9.11,124.89,77.6,11.25
525,Emerald,28,AU,1561716710,59,-23.53,148.16,66.2,6.93
526,Gawler,0,AU,1561716711,48,-34.6,138.75,66.99,13.87
527,Machaneng,31,BW,1561716713,35,-23.19,27.49,70.94,6.51
528,Huron,1,US,1561716714,94,44.36,-98.21,71.6,5.82
529,Bereda,0,ES,1561716715,68,43.27,-7.54,75.99,3.36
530,Lexington,1,US,1561716716,88,38.05,-84.5,68.0,6.93
531,Udachnyy,90,RU,1561716717,49,66.42,112.4,71.6,8.95
532,Panguna,100,PG,1561716718,71,-6.32,155.48,83.54,4.99
533,Merauke,100,ID,1561716720,83,-8.49,140.4,79.4,23.89
534,Nouadhibou,0,MR,1561716721,68,20.93,-17.03,71.6,23.04
535,Viedma,100,AR,1561716722,83,-40.81,-62.99,47.72,18.05
536,Astana,75,KZ,1561716516,59,51.13,71.43,62.6,17.9
537,Sorland,40,NO,1561716725,61,67.67,12.69,50.0,8.05
538,Hanyang,46,CN,1561716726,42,32.14,105.51,87.01,12.73
539,Portland,90,US,1561716428,100,43.66,-70.25,61.0,2.04
540,Elizabeth City,1,US,1561716729,78,36.3,-76.22,77.0,3.29
541,Vangaindrano,81,MG,1561716730,92,-23.35,47.6,71.66,3.67
542,Banyo,80,CM,1561716731,74,6.75,11.81,73.28,3.76
543,Wexford,90,US,1561716732,93,40.63,-80.06,66.99,1.3
544,Carberry,20,CA,1561716733,77,49.87,-99.36,59.0,8.05
545,Santa Isabel do Rio Negro,9,BR,1561716734,99,-0.41,-65.02,71.48,2.06
546,Moussoro,85,TD,1561716736,34,13.64,16.49,93.26,14.18
547,Paamiut,0,GL,1561716737,86,61.99,-49.67,37.28,21.0
548,Stokmarknes,40,NO,1561716738,66,68.56,14.91,50.0,11.41
549,Havre-Saint-Pierre,90,CA,1561716739,100,50.23,-63.6,50.0,5.82
550,Beyla,100,GN,1561716740,91,8.69,-8.65,72.74,3.71
551,Lieksa,29,FI,1561716742,42,63.32,30.02,58.34,9.37
